file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0913_0058_368056_to_370961,གསར་བརྗེའི་ངོ་རྒོལ་བ་དེ་ཚོ་ལྡབ་ལོག་བསྡུས།  ,gsar brje'i ngo rgol ba de tsho ldab log bsdus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0058_368056_to_370961.wav,STT_MV,2,43,2.905,wav16k/STT_MV0913_0058_368056_to_370961.wav,གསར་བརྗེ་མོ་རྒོལ་པ་དེ་ཚོ་ལག་ཕག་ཡོང་དུས།
STT_MV0913_0059_370961_to_379228,ཁོང་ཚོས་གསར་གཏོད་འབྱོར་མེད་གྲལ་རིམ་གི་གསར་བརྗེའི་རིག་གནས་དམག་སྤྱི་ཁང་ལ་ངོ་རྒོལ་བྱས། ཁོང་ཚོས་མང་ཚོགས་གསར་བརྗེ་བྱེད་ཡ་བཀག་འགོག་བྱས་པ་དེ།  ,khong tshos gsar gtod 'byor med gral rim gi gsar brje'i rig gnas dmag spyi khang la ngo rgol byas/_khong tshos mang tshogs gsar brje byed ya bkag 'gog byas pa de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0059_370961_to_379228.wav,STT_MV,2,136,8.267,wav16k/STT_MV0913_0059_370961_to_379228.wav,ཁོ་ཚོས་གསར་གཏོད་ཀི་འབྱོར་མེད་གྱས་རིམ་ཀི་གསར་བརྗེ་རིག་གནས་དམག་སྤྱི་ྒང་ལ་ངོ་རྒོལ་བྱས། ཁོ་ཚོས་མང་ཚོགས་གསར་བརྗེ་བྱེདཡ་བཀག་འགོག་བྱས་པ་དེ།
STT_MV0913_0060_379228_to_382186,ཧ་ཅང་ཚབ་ཆེ་བའི་གནད་དོན་ཞིག་རེད།  ,ha cang tshab che ba'i gnad don zhig red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0060_379228_to_382186.wav,STT_MV,2,33,2.958,wav16k/STT_MV0913_0060_379228_to_382186.wav,ཧ་ཅང་ཚབས་ཆེ་བའི་གནད་དོན་དེ་རེད།
STT_MV0913_0061_382186_to_387730,ང་ཚོས་མཐའ་གཅིག་ཏུ་དགག་པ་བརྒྱབ་དགོས་རེད། དགག་པ་བརྒྱབ་དགོས་རེད།  ,nga tshos mtha' gcig tu dgag pa brgyab dgos red/_dgag pa brgyab dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0061_382186_to_387730.wav,STT_MV,2,63,5.544,wav16k/STT_MV0913_0061_382186_to_387730.wav,ང་ཚོས་མཐའ་གཅིག་ཏུ་དགག་པ་བརྒྱ་དགོས་རེད། དགག་པ་རྒྱབ་དགོས་རེདེ།
STT_MV0913_0078_523050_to_525563,ལམ་ནོར་ལྡོག་ཤེས་མེད་པའི་ཀླད་རྙིང་མཁྲེགས་བཟུང་ཅན་ཞིག་རེད།  ,lam nor ldog shes med pa'i klad rnying mkhregs bzung can zhig red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0078_523050_to_525563.wav,STT_MV,2,58,2.513,wav16k/STT_MV0913_0078_523050_to_525563.wav,ལམ་ནོར་ལྡོག་གཤེས་མེད་པའི་ལླད་གཉིས་ཁྲིག་གཛུགས་ཅན་ཅིག་རེད།
STT_MV0913_0079_525563_to_532172,ཁོ་དམག་དཔུང་ནས་ལས་བསྒྱུར་བྱས་ལོག་ཡོང་པ་ནས་བཟུང་། ཧྥང་ལུང་གི་ལས་བྱེད་པ་ཚང་མ་སྡུག་པོ་ཞེ་དྲག་མཐོང་སོང་།  ,kho dmag dpung nas las bsgyur byas log yong pa nas bzung /_h+phang lung gi las byed pa tshang ma sdug po zhe drag mthong song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0079_525563_to_532172.wav,STT_MV,2,102,6.609,wav16k/STT_MV0913_0079_525563_to_532172.wav,ཧ། ཁོ་དམག་དཔུང་ནས་ལས་བསྒྱུར་བྱས་ལོག་ཡོང་པ་ནས་བཟུང་། ཧྥང་ལུའུ་གི་ལས་བྱེད་པ་ཚང་མ་སྡུག་པོ་ཞེ་དྲག་མཐོང་སོང་།
STT_MV0913_0080_532172_to_538469,ང་ཚོ་རྫོང་ནང་གི་ལས་བྱེད་པ་ལ་ཁོས་རྡུང་རྡེག་དང་མགོ་གནོད་བྱེད་ཀིས།  ,nga tsho rdzong nang gi las byed pa la khos rdung rdeg dang mgo gnod byed kis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0080_532172_to_538469.wav,STT_MV,2,65,6.297,wav16k/STT_MV0913_0080_532172_to_538469.wav,ཨ། ང་ཚོ་རྫོང་ནང་གི་ལས་བྱེད་པ་ལས་ཁོས་རྡུང་རྡེག་བཏང་དགོང་གནོན་བྱེད་ཀིས།
STT_MV0913_0081_538469_to_546751,ངོས་ནས་ཁོ་ཕ་ཡུལ་ལོག་བྱས་ཞིང་པ་བྱེད་ཀ་ཡོང་པ་ཟེར་གི་ཡོད་རེད། ཡིན་ནས་དོན་དངོས་ཐོག་འཛེམ་བག་མེད་པར་ས་གནས་ལས་ཀར་ཐེ་ཇུས་བྱེད་ཀིས།  ,ngos nas kho pha yul log byas zhing pa byed ka yong pa zer gi yod red/_yin nas don dngos thog 'dzem bag med par sa gnas las kar the jus byed kis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0081_538469_to_546751.wav,STT_MV,2,124,8.282,wav16k/STT_MV0913_0081_538469_to_546751.wav,ངོས་ནས་ཁོ་ཕ་ཡུལ་ལོག་བྱས་ཞིང་པ་བྱེད་ཀ་ཡོང་པ་ཡིན་ཟེར་གི་ཡོད་རེད། ཡིན་ནས་དོན་དངོས་ཐོག་འཛེམ་བག་མེད་པར་ས་གནས་ལས་ཀར་ཐེ་ཇུས་བྱེད་ཀིས།
STT_TT00814_0022_147909_to_150437,མར་འགྲོ་སྟངས་འདྲ་བོ་དེ། རྒྱས་པ་དེ་ག་བ་གི་འདུག་སེ་ལབ་པ་ཡིན་ན།  ,mar 'gro stangs 'dra bo de/_rgyas pa de ga ba gi 'dug se lab pa yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00814_0022_147909_to_150437.wav,STT_TT,2,62,2.528,wav16k/STT_TT00814_0022_147909_to_150437.wav,མར་འགྲོ་སྟངས་འདྲ་བོ་དེ། རྒྱས་པ་དེ་ག་བ་གིས་འདུག་ཟེ་ལབ་པ་ཡིན་ན།
STT_MV0913_0098_659864_to_661288,སོ་སོའི་སེམས་པ་མ་རེད།  ,so so'i sems pa ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0098_659864_to_661288.wav,STT_MV,2,23,1.424,wav16k/STT_MV0913_0098_659864_to_661288.wav,སོ་སོའི་སེམས་པ་མ་རེད།
STT_MV0913_0099_661288_to_666060,བྱས་ཙང་། དྲང་པོ་ཤོད་ཤིག།  ,byas tsang /_drang po shod shig/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0099_661288_to_666060.wav,STT_MV,2,26,4.772,wav16k/STT_MV0913_0099_661288_to_666060.wav,བྱས་ཙང་དྲང་པོ་ཤོད་ཤིག
STT_MV0913_0102_684030_to_687392,རྩ་འཛུགས་ནས་རང་མགོ་འདོན་གཙོ་སྐྱོང་བྱེད་ཀི་རེད།  ,rtsa 'dzugs nas rang mgo 'don gtso skyong byed ki red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0102_684030_to_687392.wav,STT_MV,2,48,3.362,wav16k/STT_MV0913_0102_684030_to_687392.wav,རྩ་འཛུགས་ནས་རང་གོ་དོན་གཙོ་སྐྱོང་བྱེད་ཀི་རེད།
STT_MV0913_0103_687392_to_696755,བློ་ཁོག་ཆེན་པོས་ཐེར་འདོན་གྱིས། སུ་ཐེར་འདོན་བྱེད་དགོས་རེད།  ,blo khog chen pos ther 'don gyis/_su ther 'don byed dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0103_687392_to_696755.wav,STT_MV,2,59,9.363,wav16k/STT_MV0913_0103_687392_to_696755.wav,བློ་ཁོག་ཆེན་པོས་ཐེར་འདོན་གྱིས། སུ་ཐེར་འདོན་བྱེད་དགོས་རེད།
STT_MV0913_0118_806473_to_814696,ང་ཀན་རྫོས་ཁྲང་མའོ་ཀྲུའུ་ཞིའི་རྩ་ལ་ཨང་ཐོ་བཀོད་མྱོང་ཡོད་ད། ཁོང་ཚོས་གེ་བྱེད་ནུས་ཀི་མ་རེད། མི་དེ་ཚོ་སྨྱོ་ཙང་། ལས་ཀ་ག་རེ་ཡིན་ན།  ,nga kan rdzos khrang ma'o kru'u zhi'i rtsa la ang tho bkod myong yod da/_khong tshos ge byed nus ki ma red/_mi de tsho smyo tsang /_las ka ga re yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0118_806473_to_814696.wav,STT_MV,2,124,8.223,wav16k/STT_MV0913_0118_806473_to_814696.wav,ང་ཀན་རྫོས་ཁྲང་མའོ་ཀྲུས་ཞིས་རྩ་ལ་ཨང་རཐོ་རྒོས་མྱོང་ཡོད་ད། ཁོང་ཚོས་གེ་བྱེད་ནུས་ཀི་མ་རེད། མི་དེ་ཚོ་སྨྱོ་ཙང་ལས་ཀ་ག་རེ་ཡིན་ནས།
STT_MV0913_0119_814696_to_823078,བྱེད་སྲིད་ཀི་རེད་ད། ངས་རང་ལ་བཤད་དགོས། ཁོང་ཚོས་སྡིངས་ཆའི་སྒང་ལ་ང་རྒྱལ་བྱས། མིག་ལྟིར་ལྡིར་བལྟས་བྱས།  ,byed srid ki red da/_ngas rang la bshad dgos/_khong tshos sdings cha'i sgang la nga rgyal byas/_mig ltir ldir bltas byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0119_814696_to_823078.wav,STT_MV,2,99,8.382,wav16k/STT_MV0913_0119_814696_to_823078.wav,བྱེད་སྲིད་ཀི་རེད་ད། ངས་རང་ལ་བཤད་དགོས། ཁོང་ཚོས་སྡིངས་ཆའི་སྒང་ང་རྒྱལ་བྱས། མིག་བདེ་གིན་བལྟས་བྱས།
STT_MV0913_0120_823078_to_830061,གྱེན་ལོག་བྱེད་ཡ་གི་རྒྱུ་མཚན་ཡོད་སེ་སྐད་བརྒྱབ་དུས། ང་དངོས་གནས་ཡིན། ཞེ་དྲག་ཞེད་ཀིས།  ,gyen log byed ya gi rgyu mtshan yod se skad brgyab dus/_nga dngos gnas yin/_zhe drag zhed kis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0120_823078_to_830061.wav,STT_MV,2,83,6.983,wav16k/STT_MV0913_0120_823078_to_830061.wav,གྱེན་ལོག་བྱེད་ཡ་དེ་རྒྱུ་མཚན་ཡོད་སེ་སྐད་བརྒྱབ་དུས། ང་དངོས་གནས་ཡིད་ཞེ་དྲག་ཞེད་ཀིས།
STT_MV0913_0121_830061_to_835348,རང་ཨུ་ཚུགས་བརྒྱབ་དགོས་མ་རེད། ངའི་ཁ་ལ་ཉོན་ད། ཨེ་གོ།  ,rang u tshugs brgyab dgos ma red/_nga'i kha la nyon da/_e go/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0121_830061_to_835348.wav,STT_MV,2,52,5.287,wav16k/STT_MV0913_0121_830061_to_835348.wav,རང་དབུ་ཚུགས་བརྒྱབ་དགོས་མ་རེད། ངས་ཁ་ལ་ཉོན་དང། ཨུ་གོ
STT_MV0913_0138_947769_to_955160,ཀུང་ཧྲི་ནས་སྙན་ཞུའི་དཔྱད་གཞི་གཅིག་བྲིས་བྱས། སྤུན་རྒྱ་ཚོར་ལན་བསྐུར་ཟེར་གིས། ཀུང་ཧྲི་ནས་བསམ་བློ་དེ་འདྲས་གཏོང་གི་རེད་བེ།  ,kung hri nas snyan zhu'i dpyad gzhi gcig bris byas/_spun rgya tshor lan bskur zer gis/_kung hri nas bsam blo de 'dras gtong gi red be/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0138_947769_to_955160.wav,STT_MV,2,119,7.391,wav16k/STT_MV0913_0138_947769_to_955160.wav,ཀུང་ཧྲི་ནས་སྙན་ཞུའི་དཔྱད་གཞི་ཞིག་བྲིས་བྱས། སྤུན་རྒྱ་ཚོར་མིང་བཀོས་ཟེར་གི། ཀུང་ཧྲི་ནས་བསམ་བློ་འདེ་འདྲས་གཏང་གི་རེད་པེ།
STT_MV0913_0139_955160_to_961522,མ་གཞི་ནས་ལིས་བྷའོ་ཧྲན་མི་ག་འདྲ་ཡིན་མིན་ངས་མ་ཤེས་པ་ག་བར་ཡོད་རེད། ཧུན།  ,ma gzhi nas lis b+ha'o hran mi ga 'dra yin min ngas ma shes pa ga bar yod red/_hun/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0139_955160_to_961522.wav,STT_MV,2,70,6.362,wav16k/STT_MV0913_0139_955160_to_961522.wav,མ་གཞི་ནས་ལིས་བའོ་ཧྲན་མི་ག་འདྲས་ཡིན་མིན། ངས་མ་ཤེས་པ་ག་བར་ཡོད་རེད། ཧེ།
STT_MV0913_0158_1074637_to_1076597,ཏག་ཏག་རེད། ཨ་ཅག་ཚུའེ་ལན།  ,tag tag red/_a cag tshu'e lan/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0158_1074637_to_1076597.wav,STT_MV,2,26,1.96,wav16k/STT_MV0913_0158_1074637_to_1076597.wav,ཏག་ཏག་རེད། ཨ་ཅག་ཚུའེ་ལགས།
STT_MV0913_0159_1076597_to_1077823,སྔན་ལ་དོན་དག་དེ་ ,sngan la don dag de _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0159_1076597_to_1077823.wav,STT_MV,2,17,1.226,wav16k/STT_MV0913_0159_1076597_to_1077823.wav,སྔན་ལ་དོན་དག་དེ་
STT_MV0913_0160_1077823_to_1079223,ཕྱི་ལ་མ་ཤོད་ཨ།  ,phyi la ma shod a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0913_0160_1077823_to_1079223.wav,STT_MV,2,16,1.4,wav16k/STT_MV0913_0160_1077823_to_1079223.wav,ཕྱི་ལ་མ་ཤོད་ཨ།
